name,phe,the,gini,beds,oop,gdp
Australia,67.54,8.69,34.77,153.14,19.93,11.13 
Belgium,82.53,10.07,27.74,6.34,17.44,10.74 
Bulgaria,54.14,7.13,34.30,6.40,44.46,8.96 
Chile,59.46,6.77,47.60,2.10,34.50,9.60 
China,53.72,4.33,42.40,3.80,40.27,8.64 
Croatia,81.97,7.79,32.30,5.70,12.05,9.59 
Czech Republic,83.54,7.03,26.10,6.70,15.29,9.89 
Denmark,84.26,10.17,28.50,3.10,13.81,11.02 
Finland,77.81,8.95,27.60,5.50,19.36,10.84 
France,76.01,11.19,33.30,6.60,10.21,10.69 
Germany,83.13,10.77,27.67,8.20,13.90,10.69 
Israel,62.68,7.07,41.02,3.10,23.52,10.41 
Italy,76.13,8.96,35.19,3.43,21.68,10.46 
Japan,83.74,10.62,27.97,5.88,13.12,10.78 
"Korea, Rep.",59.64,6.30,42.41,3.51,34.64,10.09 
Lithuania,70.33,6.50,32.50,7.40,28.22,9.57 
Netherlands,82.19,10.52,27.70,6.09,9.94,10.90 
Norway,84.76,8.77,25.70,4.00,14.80,11.53 
Poland,70.67,6.38,32.50,6.50,23.65,9.53 
Portugal,66.49,9.17,36.14,3.40,27.36,9.97 
Russian Federation,62.65,4.78,39.70,8.60,34.19,9.57 
Slovak Republic,71.64,7.63,26.10,5.90,23.23,9.76 
Slovenia,72.27,8.57,24.90,4.60,12.20,10.13 
South Africa,54.44,7.50,42.40,2.81,8.40,8.98 
Spain,72.18,9.08,35.40,3.00,22.84,10.26 
Sweden,83.97,10.68,27.60,2.70,15.04,11.00 
Switzerland,62.31,10.77,31.70,4.90,28.52,11.39 
Turkey,79.14,4.65,40.04,2.54,15.90,9.34 
United Kingdom,84.26,8.42,33.20,2.90,9.89,10.64 
United States,48.46,16.37,45.58,2.90,12.04,10.85
